name,smiles,tanimoto_combo_legacy,tanimoto_combination,tanimoto_shape,tanimoto_color,overlap_volume,overlap_color,self_overlap_volume_query,self_overlap_volume_fit,self_overlap_color_query,self_overlap_color_fit,RefTversky_volume,RefTversky_color,FitTversky_volume,FitTversky_color,RefTverskyCombo,FitTverskyCombo
CHEMBL1327614,Cc1cc(N2CCOCC2)nc(NCc2ccccc2)n1,1.5312688,0.7656344,0.8235935,0.7076753,950.699,33.307697,1134.4746,970.5548,42.087975,38.286083,0.844,0.795,0.971,0.866,1.639,1.837
CHEMBL4250382,Cc1cc(N(C)C)nc(NCc2ccc(Cl)cc2)n1,1.522708,0.761354,0.77994347,0.7427646,872.31976,33.41628,1134.4746,856.2849,42.087975,36.31736,0.778,0.799,1.002,0.913,1.578,1.915
CHEMBL601135,Cc1cc(N2CCCCC2)nc(NCc2ccccc2)n1,1.5127876,0.7563938,0.8357596,0.67702806,955.00323,35.096863,1134.4746,963.2055,42.087975,44.848484,0.848,0.831,0.983,0.785,1.679,1.768
CHEMBL611363,Cc1cc(NC(C)C)nc(NCc2ccccc2)n1,1.5091772,0.7545886,0.78843296,0.7207443,878.7797,35.383312,1134.4746,858.89545,42.087975,42.388077,0.784,0.84,1.007,0.835,1.625,1.842
CHEMBL578928,Cc1cc(NC2CCCCC2)nc(NCc2ccccc2)n1,1.4915856,0.7457928,0.8165659,0.67501974,959.67145,38.64007,1134.4746,1000.4498,42.087975,53.79497,0.851,0.905,0.953,0.726,1.756,1.679
CHEMBL4245858,Cc1cc(N(C)C)nc(NCc2ccccc2)n1,1.4903098,0.7451549,0.74910915,0.7412007,837.12463,33.37587,1134.4746,820.1436,42.087975,36.317364,0.748,0.798,1.002,0.912,1.547,1.913
CHEMBL2271285,Cc1nc(NCc2ccc(Cl)cc2)nc(C(F)(F)C(F)(F)F)n1,1.4769092,0.7384546,0.8044888,0.6724203,985.58026,31.654642,1134.4746,1076.207,42.087975,36.642338,0.871,0.757,0.913,0.858,1.628,1.771
CHEMBL4130103,Cc1cc(C)nc(SSc2ccc(Cl)cc2)n1,1.475942,0.737971,0.7381872,0.7377548,792.59644,33.357605,1134.4746,731.82837,42.087975,36.484653,0.711,0.798,1.054,0.907,1.509,1.961
CHEMBL4126843,Cc1cc(C)nc(SSc2ccc(Br)cc2)n1,1.4756463,0.7378231,0.7380674,0.7375788,790.8996,33.353024,1134.4746,728.0068,42.087975,36.484653,0.71,0.798,1.057,0.907,1.508,1.964
CHEMBL2270228,Cc1nc(CF)nc(NCc2ccc(Cl)cc2)n1,1.4754852,0.7377426,0.7738179,0.7016673,850.1578,33.326035,1134.4746,814.3367,42.087975,38.73355,0.76,0.795,1.024,0.857,1.555,1.881
CHEMBL2270227,Cc1nc(CF)nc(NCc2ccc(Br)cc2)n1,1.4751878,0.7375939,0.77363497,0.7015528,848.37744,33.32284,1134.4746,810.51495,42.087975,38.733555,0.759,0.795,1.026,0.857,1.554,1.883
CHEMBL595700,Cc1cc(Nc2ccccc2)nc(NCc2ccccc2)n1,1.4723511,0.73617554,0.80017954,0.6721716,958.93805,39.821667,1134.4746,1022.86694,42.087975,56.977,0.849,0.93,0.932,0.708,1.779,1.641
