name	smiles	tanimoto_combo_legacy	tanimoto_combination	tanimoto_shape	tanimoto_color	overlap_volume	overlap_color	self_overlap_volume_query	self_overlap_volume_fit	self_overlap_color_query	self_overlap_color_fit
CHEMBL4250382	Cc1cc(N(C)C)nc(NCc2ccc(Cl)cc2)n1	1.569418	0.784709	0.7996532	0.7697647	897.32684	34.265038	1161.2327	858.2393	42.4613	36.31739
CHEMBL594754	Cc1cc(NC(C)C)nc(NCc2ccc3c(c2)CCN3C)n1	1.5568874	0.7784437	0.8622507	0.6946367	1028.989	33.991776	1161.2327	1061.1321	42.4613	40.465084
CHEMBL5183478	Cc1cc(Nc2nc(NCc3ccc(Cl)cc3)nc3c2cnn3C)n[nH]1	1.5524554	0.7762277	0.86727786	0.6851775	1115.8395	39.347343	1161.2327	1241.2065	42.4613	54.312542
CHEMBL611363	Cc1cc(NC(C)C)nc(NCc2ccccc2)n1	1.5519352	0.7759676	0.80777985	0.74415535	903.0886	36.20135	1161.2327	859.84454	42.4613	42.387623
CHEMBL1327614	Cc1cc(N2CCOCC2)nc(NCc2ccccc2)n1	1.5518818	0.7759409	0.7749386	0.77694327	931.9516	35.30573	1161.2327	973.33246	42.4613	38.286266
CHEMBL4245858	Cc1cc(N(C)C)nc(NCc2ccccc2)n1	1.5277455	0.76387274	0.7599758	0.76776975	856.4228	34.2148	1161.2327	822.098	42.4613	36.31739
CHEMBL5201147	Cc1cc(Nc2nc(NCc3ccc(C#N)cc3)nc3ccccc23)n[nH]1	1.526303	0.7631515	0.87058	0.65572304	1140.1028	43.32588	1161.2327	1288.46	42.4613	66.93803
CHEMBL184142	CN(Cc1ccc(Cl)cc1)c1nc(O)cc(C(F)(F)F)n1	1.5199051	0.75995255	0.74769664	0.7722085	912.72156	34.372116	1161.2327	972.1999	42.4613	36.422264
CHEMBL264433	O=C(c1cccs1)c1nc(NCc2ccccc2)nc2ccsc12	1.5198501	0.75992507	0.8574515	0.66239864	1050.2352	40.556858	1161.2327	1113.8359	42.4613	59.322826
CHEMBL5179876	Cc1cc(Nc2nc(NCc3ccc(Cl)cc3)nc3ccccc23)n[nH]1	1.5196527	0.75982636	0.8653264	0.6543263	1110.632	43.269924	1161.2327	1232.8826	42.4613	66.93759
CHEMBL5173092	Cc1cc(Nc2nc(NCc3ccc(Br)cc3)nc3ccccc23)n[nH]1	1.5194764	0.7597382	0.8649746	0.6545018	1108.6176	43.27694	1161.2327	1229.0613	42.4613	66.9376
CHEMBL578928	Cc1cc(NC2CCCCC2)nc(NCc2ccccc2)n1	1.5098076	0.7549038	0.83362716	0.6761804	983.271	38.831444	1161.2327	1001.5477	42.4613	53.79778
CHEMBL2271292	Cc1nc(N(C=O)Cc2ccc(Cl)cc2)nc(C(F)(F)F)n1	1.5053816	0.7526908	0.8074705	0.6979111	975.46545	32.51551	1161.2327	1022.2836	42.4613	36.643967
CHEMBL2271291	Cc1nc(C(F)F)nc(N(C=O)Cc2ccc(Cl)cc2)n1	1.5050969	0.75254846	0.8061514	0.6989455	949.29266	32.543865	1161.2327	965.6212	42.4613	36.643944
CHEMBL2005449	Cc1cc(Nc2nc(Cl)cc(NCc3ccccc3)n2)n[nH]1	1.5037439	0.75187194	0.88223755	0.6215064	1025.9	35.426548	1161.2327	1027.5061	42.4613	49.96635
CHEMBL3603885	O=C(N1CCCC1)n1cnc(SCc2ccccc2)n1	1.5009073	0.75045365	0.8289093	0.671998	946.99164	34.37665	1161.2327	928.21405	42.4613	43.071236
CHEMBL2270228	Cc1nc(CF)nc(NCc2ccc(Cl)cc2)n1	1.4978082	0.7489041	0.80572754	0.69208074	882.31256	33.20963	1161.2327	816.1306	42.4613	38.73352
CHEMBL2270227	Cc1nc(CF)nc(NCc2ccc(Br)cc2)n1	1.4977748	0.7488874	0.8055456	0.6922293	880.4974	33.21384	1161.2327	812.30927	42.4613	38.73352
CHEMBL5175172	Cc1cc(Nc2nc(NCc3ccc(C#N)cc3)nc3[nH]ncc23)n[nH]1	1.491853	0.7459265	0.890363	0.60148996	1136.2968	39.34181	1161.2327	1251.2815	42.4613	62.287773
CHEMBL230455	CN(Cc1ccccc1)c1nc(Nc2ccccc2)n2ncc(C#N)c2n1	1.4910765	0.74553823	0.8232816	0.66779494	1110.2074	39.947388	1161.2327	1297.4895	42.4613	57.30593
CHEMBL5192947	Cc1ccc(CNc2nc(Nc3cc(C)[nH]n3)c3ccccc3n2)cc1	1.4898586	0.7449293	0.8602004	0.62965816	1110.0542	43.668903	1161.2327	1239.2815	42.4613	70.56094
CHEMBL464800	Clc1ccc(CNc2ncc(Br)c(Nc3cc(C4CC4)[nH]n3)n2)cc1	1.4855719	0.74278593	0.8366521	0.64891976	1053.8942	39.43274	1161.2327	1152.3179	42.4613	57.738182
CHEMBL5171469	Cc1cc(Nc2nc(NCc3ccc(Cl)cc3)nc3[nH]ncc23)n[nH]1	1.4849312	0.7424656	0.88470364	0.6002276	1106.3698	39.29005	1161.2327	1195.6912	42.4613	62.287346
CHEMBL5187941	Cc1cc(Nc2nc(NCc3ccc(Br)cc3)nc3[nH]ncc23)n[nH]1	1.4848771	0.74243855	0.88450086	0.6003762	1104.4415	39.29613	1161.2327	1191.8696	42.4613	62.28734
CHEMBL2270230	Cc1nc(NCc2ccc(Br)cc2)nc(C(F)F)n1	1.4802808	0.7401404	0.7845372	0.69574356	889.94025	32.455257	1161.2327	863.0581	42.4613	36.64226
CHEMBL2270231	Cc1nc(NCc2ccc(Cl)cc2)nc(C(F)F)n1	1.480199	0.7400995	0.78459865	0.69560033	891.6594	32.451313	1161.2327	866.87964	42.4613	36.642254
CHEMBL5187391	Cc1cc(Nc2nc(NCc3ccc(F)cc3)nc3ccccc23)n[nH]1	1.4783444	0.7391722	0.8670889	0.61125547	1117.1497	40.221596	1161.2327	1244.3081	42.4613	63.561913
CHEMBL2269214	Cc1nc(NCc2ccc(Br)cc2)nc(C(F)(F)F)n1	1.4721522	0.7360761	0.778014	0.6941383	910.43915	32.411057	1161.2327	919.41583	42.4613	36.64226
CHEMBL2269218	Cc1nc(NCc2ccc(Cl)cc2)nc(C(F)(F)F)n1	1.4721057	0.7360529	0.77815884	0.6939469	912.207	32.40578	1161.2327	923.2374	42.4613	36.64226
CHEMBL124279	Nc1cc(Cl)nc(SCc2ccc(Cl)c(Cl)c2)n1	1.4669688	0.7334844	0.78488535	0.6820835	854.152	32.545258	1161.2327	781.1699	42.4613	37.79844
CHEMBL1077985	Cc1ccc(C(=O)c2nc(NCc3ccccc3)nc3ccsc23)s1	1.4655801	0.73279005	0.8397822	0.6257979	1057.801	40.506866	1161.2327	1156.1819	42.4613	62.77391
CHEMBL5181286	Cc1cc(Nc2nc(NCc3cccc(Br)c3)nc3[nH]ncc23)n[nH]1	1.4642832	0.7321416	0.86455	0.59973323	1091.2246	39.269825	1161.2327	1192.1799	42.4613	62.28735
CHEMBL2269225	Cc1nc(NCc2ccc(C(F)(F)F)cc2)nc(C(F)(F)F)n1	1.4642465	0.73212326	0.7679853	0.6962612	974.1717	32.469593	1161.2327	1081.416	42.4613	36.6425
CHEMBL124578	Nc1cc(Cl)nc(SCc2ccccc2)n1	1.4632417	0.73162085	0.7194626	0.7437791	782.0912	34.233406	1161.2327	707.9077	42.4613	37.798412
CHEMBL5190548	Cc1cc(Nc2nc(NCc3ccc(Cl)cc3)nc3c2cnn3C(C)C)n[nH]1	1.4617233	0.73086166	0.8156423	0.64608103	1116.8552	39.58938	1161.2327	1324.918	42.4613	58.404263
CHEMBL2271287	Cc1nc(N(C=O)Cc2ccccc2)nc(C(F)(F)F)n1	1.4587142	0.7293571	0.76496756	0.6937466	930.7096	32.40096	1161.2327	986.14233	42.4613	36.643974
CHEMBL184852	Oc1cc(C(F)(F)F)nc(NCc2ccc(Cl)cc2)n1	1.4560342	0.7280171	0.7187508	0.7372834	871.98694	34.312843	1161.2327	923.95215	42.4613	38.391106
CHEMBL4863654	c1ccc(CNc2nc(Nc3nccs3)nc3ccccc23)cc1	1.4555457	0.72777283	0.8279379	0.6276077	1038.5254	39.13284	1161.2327	1131.6445	42.4613	59.023933
CHEMBL4130103	Cc1cc(C)nc(SSc2ccc(Cl)cc2)n1	1.4521921	0.72609603	0.72526294	0.7269291	796.0058	33.2312	1161.2327	732.3142	42.4613	36.4844
CHEMBL2269217	Cc1nc(NCc2cccc(Cl)c2)nc(C(F)(F)F)n1	1.451806	0.725903	0.7587597	0.6930463	899.45386	32.38094	1161.2327	923.64777	42.4613	36.64226
CHEMBL4126843	Cc1cc(C)nc(SSc2ccc(Br)cc2)n1	1.4514806	0.7257403	0.7243859	0.7270947	793.8422	33.23558	1161.2327	728.49255	42.4613	36.484394
CHEMBL1346856	Nc1cc(O)nc(SCc2ccc(Cl)cc2)n1	1.4509004	0.7254502	0.7565807	0.6943197	825.2532	34.61343	1161.2327	754.7873	42.4613	42.00442
CHEMBL230347	N#Cc1cnn2c(Nc3ccccc3)nc(NCc3ccc(Cl)cc3)nc12	1.4498119	0.72490597	0.83331865	0.61649334	1111.8906	38.796425	1161.2327	1284.9502	42.4613	59.265938
CHEMBL520832	CCCOc1cccc2nc(N)n(Cc3ccc(Cl)c(Cl)c3)c12	1.4491808	0.7245904	0.84447604	0.60470474	1016.0299	35.058426	1161.2327	1057.9456	42.4613	50.573235
CHEMBL5179518	Cc1cc(Nc2nc(NCc3ccccc3)nc3[nH]ncc23)n[nH]1	1.4490764	0.7245382	0.85073614	0.5983402	1066.8044	39.212757	1161.2327	1159.5498	42.4613	62.28734
CHEMBL3965209	CN(C)c1ccc(CNc2ncc(Br)c(Nc3cc(C4CC4)n[nH]3)n2)cc1	1.4461815	0.72309077	0.8413672	0.6048144	1101.2659	35.70669	1161.2327	1248.9336	42.4613	52.282825
CHEMBL2270222	Cc1ccc(CNc2nc(C)nc(C(F)F)n2)cc1	1.4459903	0.72299516	0.7783904	0.66759986	890.4102	33.118454	1161.2327	873.0896	42.4613	40.265392
CHEMBL609601	Cc1cc(NCc2ccccc2)nc(NC(C)C)n1	1.4421737	0.72108686	0.8132874	0.6288864	906.4715	32.759766	1161.2327	859.8159	42.4613	42.390167
CHEMBL3409725	Cc1ccc(CNc2nc3c(c(Nc4cc(C5CC5)[nH]n4)n2)CCC3)cc1	1.4418845	0.72094226	0.831508	0.6103766	1106.4808	43.252678	1161.2327	1275.94	42.4613	71.653656
CHEMBL2270229	Cc1nc(NCc2ccccc2)nc(C(F)F)n1	1.4393609	0.7196804	0.7451498	0.694211	850.53827	32.41306	1161.2327	830.7383	42.4613	36.64226
CHEMBL5200865	Cc1cc(Nc2nc(NCc3ccc(F)cc3)nc3[nH]ncc23)n[nH]1	1.4391989	0.7195994	0.88668245	0.5525164	1113.0509	36.077065	1161.2327	1207.1165	42.4613	58.91168
CHEMBL1997924	c1ccc(CNc2nc(Nc3cc(C4CC4)[nH]n3)c3sccc3n2)cc1	1.439003	0.7195015	0.7983935	0.64060956	1059.5681	42.323532	1161.2327	1225.4607	42.4613	65.92983
CHEMBL5208535	Cc1cc(Nc2nc(NCc3ccccc3Br)nc3[nH]ncc23)n[nH]1	1.4381682	0.7190841	0.8399088	0.5982594	1074.6361	39.209465	1161.2327	1192.8711	42.4613	62.287407
CHEMBL5175294	Cc1cc(Nc2nc(NCc3cccc(Cl)c3)nc3[nH]ncc23)n[nH]1	1.4373273	0.71866363	0.83753747	0.5997898	1074.4663	39.272163	1161.2327	1196.1211	42.4613	62.28741
CHEMBL123779	Cc1cccc(CSc2nc(N)cc(Cl)n2)c1	1.4370961	0.71854806	0.71210605	0.72499007	795.4059	35.260376	1161.2327	751.14996	42.4613	41.43474
CHEMBL3919886	COc1ccc(CNc2ncc(Br)c(Nc3cc(C4CC4)[nH]n3)n2)cc1	1.4359183	0.71795917	0.84334475	0.59257364	1083.1998	35.995945	1161.2327	1206.3765	42.4613	54.279743
CHEMBL2158427	NC(=O)c1cc(N2CCOCC2)nc(NCc2ccccc2)n1	1.435247	0.7176235	0.76128507	0.67396194	965.5511	33.236607	1161.2327	1072.6357	42.4613	40.090565
CHEMBL2269224	Cc1nc(NCc2ccc([N+](=O)[O-])cc2)nc(C(F)(F)F)n1	1.4347816	0.7173908	0.7829702	0.6518113	964.4056	29.105639	1161.2327	1034.8999	42.4613	31.297813
CHEMBL3237171	COC(=O)c1ccc(CNc2nc(Nc3cc(C)[nH]n3)cc(N3CCOCC3)n2)cc1	1.4332429	0.71662146	0.7763631	0.65687984	1146.7772	39.09175	1161.2327	1462.6592	42.4613	56.14172
CHEMBL5198607	COc1ccc(CNc2nc(Nc3cc(C)[nH]n3)c3cn[nH]c3n2)cc1	1.4325106	0.7162553	0.87983	0.5526806	1128.3544	36.055984	1161.2327	1249.5903	42.4613	58.83306
CHEMBL4856820	CCc1cc(Nc2nc(NCc3ccc(F)cc3)nc3ccccc23)n[nH]1	1.4321424	0.7160712	0.84559625	0.5865461	1120.5311	40.386585	1161.2327	1284.4358	42.4613	66.7802
CHEMBL2269433	Cc1nc(NCc2ccccc2)nc(C(F)(F)F)n1	1.4317057	0.71585286	0.74013454	0.6915711	871.2193	32.340195	1161.2327	887.096	42.4613	36.64226
CHEMBL517943	Fc1ccc(CNc2ncc(Br)c(Nc3cc(C4CC4)[nH]n3)n2)cc1	1.4306643	0.71533215	0.83505833	0.59560597	1058.0848	36.112724	1161.2327	1163.9312	42.4613	54.283333
CHEMBL524117	C=CC(=O)Nc1ccc2ncnc(Cc3ccc(F)c(Cl)c3)c2n1	1.4304047	0.71520233	0.8751449	0.5552598	1068.2725	32.902836	1161.2327	1127.7205	42.4613	49.69819
CHEMBL4874424	CCc1cc(Nc2nc(NCc3ccc(Cl)cc3)nc3cccc(OC)c23)n[nH]1	1.4297905	0.71489525	0.7920874	0.63770306	1117.5507	42.59472	1161.2327	1367.2112	42.4613	66.92738
CHEMBL1479024	Cc1ccc(CSc2nc(N)cc(O)n2)cc1	1.4276619	0.71383095	0.75490993	0.6727519	826.96234	35.41821	1161.2327	761.1748	42.4613	45.60367
CHEMBL340593	Nc1cc(Cl)nc(SCc2cccc(Br)c2)n1	1.4268266	0.7134133	0.7458624	0.6809642	812.4749	32.513485	1161.2327	740.55145	42.4613	37.798435
CHEMBL576552	Cc1ccc(CNc2nc(Nc3ccc(F)cc3)c3cnn(C)c3n2)cc1	1.4255898	0.7127949	0.80599445	0.6195954	1091.5238	39.005573	1161.2327	1284.5483	42.4613	59.49757
CHEMBL2269223	Cc1ccc(CNc2nc(C)nc(C(F)(F)F)n2)cc1	1.4241403	0.71207017	0.7582804	0.66585994	901.6288	33.06664	1161.2327	929.4402	42.4613	40.265392
CHEMBL2270224	Cc1nc(C)nc(NCc2ccc(Br)cc2)n1	1.4236313	0.71181566	0.75213057	0.67150074	827.5517	32.56956	1161.2327	766.59576	42.4613	38.610905
CHEMBL2270225	Cc1nc(C)nc(NCc2ccc(Cl)cc2)n1	1.4236223	0.7118111	0.7522718	0.6713505	829.281	32.565197	1161.2327	770.4173	42.4613	38.610897
CHEMBL1305329	Oc1nc(SCc2ccc(Cl)cc2)nc2ccsc12	1.421671	0.7108355	0.72272456	0.6989465	843.5627	37.295925	1161.2327	849.528	42.4613	48.19483
CHEMBL2113961	CN(C)C(=O)n1cnc(SCc2ccccc2)n1	1.421201	0.7106005	0.77074444	0.6504565	863.04767	31.666248	1161.2327	821.5735	42.4613	37.888065
CHEMBL5190474	Cc1cc(Nc2nc(NCc3ccc(Cl)cc3)nc3c2cnn3CC(F)(F)F)n[nH]1	1.4211367	0.71056837	0.7467266	0.67441016	1109.7156	38.978065	1161.2327	1434.5898	42.4613	54.31255
CHEMBL2269216	Cc1nc(NCc2ccccc2Cl)nc(C(F)(F)F)n1	1.4203477	0.71017385	0.7301059	0.6902418	880.1856	32.303417	1161.2327	924.5118	42.4613	36.64226
CHEMBL2269222	Cc1cccc(CNc2nc(C)nc(C(F)(F)F)n2)c1	1.4200413	0.71002066	0.7457119	0.6743294	893.5995	33.317703	1161.2327	930.6841	42.4613	40.265045
CHEMBL4128892	Cc1cc(C)nc(SSc2ccccc2)n1	1.4195315	0.70976573	0.69536406	0.7241674	761.82635	33.157978	1161.2327	696.17285	42.4613	36.4844
CHEMBL1616151	COc1ccc(CNc2cccc3[nH]c(C(F)(F)F)nc23)cc1	1.4191482	0.7095741	0.8956737	0.5234745	1065.3331	29.808048	1161.2327	1093.5215	42.4613	44.28944
CHEMBL5169342	Cc1cc(Nc2nc(NCc3ccc(F)cc3F)nc3c2cnn3C)n[nH]1	1.4176502	0.7088251	0.85904294	0.5586072	1138.3759	32.30394	1161.2327	1302.3108	42.4613	47.67208
CHEMBL594253	Cc1cc(NCc2ccccc2)nc(NC2CCCCC2)n1	1.4163799	0.70818996	0.840251	0.57612884	987.54553	35.18635	1161.2327	1001.6111	42.4613	53.79881
CHEMBL473326	Oc1nc(SCc2ccc(Cl)cc2)nc2c1CCC2	1.4151809	0.70759046	0.72148025	0.6937007	846.291	38.00315	1161.2327	858.05096	42.4613	50.325066
CHEMBL1493047	Cc1ccc(CSc2ccc3nnc(-c4cccnc4)n3n2)cc1	1.4145072	0.7072536	0.87212795	0.5423792	1070.3867	36.652637	1161.2327	1136.4817	42.4613	61.768845
CHEMBL2269436	Cc1nc(NCc2ccccc2)nc(C(Cl)(Cl)Cl)n1	1.4139192	0.7069596	0.74447626	0.6694429	854.2276	32.50981	1161.2327	840.4158	42.4613	38.610992
CHEMBL4130253	Cc1ccc(SSc2nc(C)cc(C)n2)cc1	1.4137969	0.70689845	0.72113067	0.69266623	796.1434	33.788544	1161.2327	738.93164	42.4613	40.107655
CHEMBL5199896	Cc1cc(Nc2nc(NCc3cccc(F)c3)nc3[nH]ncc23)n[nH]1	1.4137951	0.70689756	0.8666049	0.5471902	1099.8672	35.823196	1161.2327	1207.8025	42.4613	58.82944
CHEMBL513330	Clc1ccc(CNc2nccc(-c3cnn4ncccc34)n2)cc1	1.4132514	0.7066257	0.7790847	0.6341667	1011.4239	36.113083	1161.2327	1148.4119	42.4613	50.597507
CHEMBL5199537	Cc1cc(Nc2nc(NCc3ccccc3F)nc3ccccc23)n[nH]1	1.4131804	0.7065902	0.81893075	0.59424967	1083.9845	39.48857	1161.2327	1246.4102	42.4613	63.47842
CHEMBL2089267	Fc1ccc(CNc2cccc3[nH]c(C(F)(F)F)nc23)cc1	1.4114964	0.7057482	0.8880527	0.52344364	1040.4812	29.806896	1161.2327	1050.8921	42.4613	44.289444
CHEMBL5277117	Cc1cc(Nc2cc(Cl)nc(Oc3ccc([N+](=O)[O-])cc3)n2)no1	1.4113839	0.70569193	0.74976134	0.6616225	985.448	30.438759	1161.2327	1138.5642	42.4613	33.983692
CHEMBL207703	Cc1cc(C#N)cc(OCc2cccc(Cl)c2)n1	1.407417	0.7037085	0.7570223	0.65039474	852.2504	33.11843	1161.2327	816.81085	42.4613	41.57764
CHEMBL595919	Cc1cc(NC(C)C)nc(NCc2ccc3c(c2)OCO3)n1	1.4072442	0.7036221	0.8163374	0.5909068	984.1639	29.55551	1161.2327	1028.516	42.4613	37.111423
CHEMBL609754	Cc1cc(N(C)C2CCCCC2)nc(NCc2ccccc2)n1	1.4071155	0.7035577	0.79309094	0.61402446	977.20667	35.869728	1161.2327	1048.1235	42.4613	51.82585
CHEMBL3262256	c1ccc(CNc2nc(Nc3ccccc3)c3ccccc3n2)cc1	1.4067142	0.7033571	0.7991694	0.60754484	1042.9135	43.1869	1161.2327	1186.6775	42.4613	71.809906
CHEMBL2269221	Cc1nc(NCc2ccccc2C)nc(C(F)(F)F)n1	1.406354	0.703177	0.73584616	0.6705077	887.1757	33.208424	1161.2327	931.59705	42.4613	40.2744
CHEMBL5181346	Cc1cc(Nc2nc(NCc3ccc(F)cc3F)nc3ccccc23)n[nH]1	1.404984	0.702492	0.85458875	0.5503953	1131.3544	36.479603	1161.2327	1293.98	42.4613	60.29721
CHEMBL2269219	Cc1nc(NCc2ccc(F)cc2)nc(C(F)(F)F)n1	1.4042705	0.70213526	0.7815134	0.62275714	919.4264	29.061708	1161.2327	934.6627	42.4613	33.2666
CHEMBL574749	Cn1ncc2c(Nc3ccc(F)cc3)nc(NCc3ccccc3)nc21	1.4034736	0.7017368	0.76867545	0.63479817	1044.4614	38.184143	1161.2327	1242.0095	42.4613	55.874474
CHEMBL2269220	COc1ccc(CNc2nc(C)nc(C(F)(F)F)n2)cc1	1.4019525	0.70097625	0.7801368	0.6218156	937.0526	29.004353	1161.2327	976.9588	42.4613	33.187675
CHEMBL3985608	FCc1ccc(CNc2ncccn2)cc1	1.4017637	0.70088184	0.7045622	0.69720143	782.36005	32.290764	1161.2327	731.5475	42.4613	36.144295
CHEMBL4126854	Clc1ccc(SSc2ncccn2)cc1	1.4012778	0.7006389	0.6763245	0.72495335	728.539	31.3813	1161.2327	644.50964	42.4613	32.207336
CHEMBL4128877	Brc1ccc(SSc2ncccn2)cc1	1.4011393	0.7005696	0.67600185	0.72513735	726.7642	31.38592	1161.2327	640.62354	42.4613	32.207344
CHEMBL4244640	Cc1cc(N(C)C)nc(N[C@H](C)c2ccccc2)n1	1.4005482	0.7002741	0.74719125	0.6533569	867.091	31.991144	1161.2327	866.32574	42.4613	38.494118
CHEMBL5281192	N#Cc1ccc(Oc2nc(Cl)cc(Nc3cc[nH]n3)n2)cc1	1.39852	0.69926	0.73214746	0.6663726	930.9766	34.202816	1161.2327	1041.3136	42.4613	43.068375
CHEMBL3431408	Clc1ccc(Sc2cnccc2N2CCOCC2)cc1	1.397774	0.698887	0.7487899	0.6489841	880.4484	30.221125	1161.2327	895.0442	42.4613	34.32664
CHEMBL2271671	CCNc1nc(Cl)nc(N[C@H](C)c2ccccc2)n1	1.396913	0.6984565	0.7751977	0.6217154	881.3409	31.917429	1161.2327	857.03235	42.4613	40.793808
CHEMBL2271641	CCNc1nc(Cl)nc(N[C@H](C)c2ccccc2)n1	1.396913	0.6984565	0.7751977	0.6217154	881.3409	31.917429	1161.2327	857.03235	42.4613	40.793808
CHEMBL5188383	Cc1cc(Nc2nc(NCc3ccc(F)cc3F)nc3ccc(F)cc23)n[nH]1	1.3939536	0.6969768	0.8230358	0.5709177	1130.1304	36.114334	1161.2327	1342.022	42.4613	56.909676
CHEMBL3262250	CC(C)Nc1nc(NCc2ccccc2)nc2ccccc12	1.3936667	0.6968334	0.7680488	0.6256179	948.4232	38.362236	1161.2327	1022.038	42.4613	57.21989
CHEMBL3291399	CNc1nc(NCc2ccccc2)nc2ccccc12	1.3918235	0.69591177	0.7302203	0.6616032	886.26526	38.05618	1161.2327	938.7282	42.4613	53.11603
CHEMBL3237170	COC(=O)c1ccc(CNc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)cc1	1.3912134	0.6956067	0.7563852	0.6348282	1147.8693	39.053497	1161.2327	1504.209	42.4613	58.11041
CHEMBL1378668	CNc1nc(SCc2ccccc2Cl)nc2c1CCCC2	1.3912082	0.6956041	0.7145804	0.67662776	875.3058	37.88164	1161.2327	938.99585	42.4613	51.406284
CHEMBL1371684	Cc1ccc(CSc2nc(O)c3c(n2)CCC3)cc1	1.3900075	0.69500375	0.71968436	0.6703232	847.7367	38.680927	1161.2327	864.4325	42.4613	53.924515
CHEMBL5198928	Cc1cc(Nc2nc(NCc3ccc(F)c(F)c3)nc3[nH]ncc23)n[nH]1	1.3899157	0.69495785	0.8976502	0.49226555	1143.845	32.81012	1161.2327	1256.8782	42.4613	57.000076
CHEMBL182801	COc1ccc(CNc2nc(O)cc(C(F)(F)F)n2)cc1	1.3898946	0.6949473	0.72470653	0.6651881	898.81775	30.917913	1161.2327	977.8358	42.4613	34.93657
CHEMBL1079043	O=C(c1nccs1)c1nc(NCc2cccnc2)nc2ccsc12	1.3886807	0.69434035	0.859237	0.5294437	1056.0701	28.307596	1161.2327	1123.9163	42.4613	39.312973
CHEMBL3986703	COCc1ccc(CNc2ncccn2)cc1	1.3884468	0.6942234	0.6930656	0.6953812	791.5105	32.240894	1161.2327	772.3206	42.4613	36.143944
CHEMBL376552	Cc1cc(C(F)(F)F)nc(N2C(=O)CS[C@H]2c2c(Cl)cccc2Cl)n1	1.3882802	0.6941401	0.70284957	0.6854306	958.7076	32.907993	1161.2327	1161.5044	42.4613	38.45738
